Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,138.2100067138672,143.07000732421875,137.69000244140625,142.4499969482422,141.99728393554688,114311700
2022-10-04,145.02999877929688,146.22000122070312,144.25999450683594,146.10000610351562,145.63568115234375,87830100
2022-10-05,144.07000732421875,147.3800048828125,143.00999450683594,146.39999389648438,145.93472290039062,79471000
2022-10-06,145.80999755859375,147.5399932861328,145.22000122070312,145.42999267578125,144.96780395507812,68402200
2022-10-07,142.5399932861328,143.10000610351562,139.4499969482422,140.08999633789062,139.644775390625,85925600
2022-10-10,140.4199981689453,141.88999938964844,138.57000732421875,140.4199981689453,139.97373962402344,74899000
2022-10-11,139.89999389648438,141.35000610351562,138.22000122070312,138.97999572753906,138.53829956054688,77033700
2022-10-12,139.1300048828125,140.36000061035156,138.16000366210938,138.33999633789062,137.90032958984375,70433700
2022-10-13,134.99000549316406,143.58999633789062,134.3699951171875,142.99000549316406,142.5355682373047,113224000
2022-10-14,144.30999755859375,144.52000427246094,138.19000244140625,138.3800048828125,137.94021606445312,88598000
2022-10-17,141.07000732421875,142.89999389648438,140.27000427246094,142.41000366210938,141.95741271972656,85250900
2022-10-18,145.49000549316406,146.6999969482422,140.61000061035156,143.75,143.29315185546875,99136600
2022-10-19,141.69000244140625,144.9499969482422,141.5,143.86000061035156,143.40280151367188,61758300
2022-10-20,143.02000427246094,145.88999938964844,142.64999389648438,143.38999938964844,142.93429565429688,64522000
2022-10-21,142.8699951171875,147.85000610351562,142.64999389648438,147.27000427246094,146.8019561767578,86548600
2022-10-24,147.19000244140625,150.22999572753906,146.0,149.4499969482422,148.9750213623047,75981900
2022-10-25,150.08999633789062,152.49000549316406,149.36000061035156,152.33999633789062,151.85585021972656,74732300
2022-10-26,150.9600067138672,151.99000549316406,148.0399932861328,149.35000610351562,148.87535095214844,88194300
2022-10-27,148.07000732421875,149.0500030517578,144.1300048828125,144.8000030517578,144.33981323242188,109180200
2022-10-28,148.1999969482422,157.5,147.82000732421875,155.74000549316406,155.24505615234375,164762400
2022-10-31,153.16000366210938,154.24000549316406,151.9199981689453,153.33999633789062,152.85267639160156,97943200
2022-11-01,155.0800018310547,155.4499969482422,149.1300048828125,150.64999389648438,150.1712188720703,80379300
2022-11-02,148.9499969482422,152.1699981689453,145.0,145.02999877929688,144.56907653808594,93604600
2022-11-03,142.05999755859375,142.8000030517578,138.75,138.8800048828125,138.43862915039062,97918500
2022-11-04,142.08999633789062,142.6699981689453,134.3800048828125,138.3800048828125,138.16903686523438,140814800
2022-11-07,137.11000061035156,139.14999389648438,135.6699981689453,138.9199981689453,138.7082061767578,83374600
2022-11-08,140.41000366210938,141.42999267578125,137.49000549316406,139.5,139.28733825683594,89908500
2022-11-09,138.5,138.5500030517578,134.58999633789062,134.8699951171875,134.6643829345703,74917800
2022-11-10,141.24000549316406,146.8699951171875,139.5,146.8699951171875,146.64608764648438,118854000
2022-11-11,145.82000732421875,150.00999450683594,144.3699951171875,149.6999969482422,149.47177124023438,93979700
2022-11-14,148.97000122070312,150.27999877929688,147.42999267578125,148.27999877929688,148.05393981933594,73374100
2022-11-15,152.22000122070312,153.58999633789062,148.55999755859375,150.0399932861328,149.81124877929688,89868300
2022-11-16,149.1300048828125,149.8699951171875,147.2899932861328,148.7899932861328,148.5631561279297,64218300
2022-11-17,146.42999267578125,151.47999572753906,146.14999389648438,150.72000122070312,150.490234375,80389400
2022-11-18,152.30999755859375,152.6999969482422,149.97000122070312,151.2899932861328,151.05935668945312,74829600
2022-11-21,150.16000366210938,150.3699951171875,147.72000122070312,148.00999450683594,147.7843475341797,58724100
2022-11-22,148.1300048828125,150.4199981689453,146.92999267578125,150.17999267578125,149.95103454589844,51804100
2022-11-23,149.4499969482422,151.8300018310547,149.33999633789062,151.07000732421875,150.83970642089844,58301400
2022-11-25,148.30999755859375,148.8800048828125,147.1199951171875,148.11000061035156,147.8842010498047,35195900
2022-11-28,145.13999938964844,146.63999938964844,143.3800048828125,144.22000122070312,144.00013732910156,69246000
2022-11-29,144.2899932861328,144.80999755859375,140.35000610351562,141.1699981689453,140.9547882080078,83763800
2022-11-30,141.39999389648438,148.72000122070312,140.5500030517578,148.02999877929688,147.8043212890625,111380900
2022-12-01,148.2100067138672,149.1300048828125,146.61000061035156,148.30999755859375,148.08389282226562,71250400
2022-12-02,145.9600067138672,148.0,145.64999389648438,147.80999755859375,147.58465576171875,65447400
2022-12-05,147.77000427246094,150.9199981689453,145.77000427246094,146.6300048828125,146.40646362304688,68826400
2022-12-06,147.07000732421875,147.3000030517578,141.9199981689453,142.91000366210938,142.692138671875,64727200
2022-12-07,142.19000244140625,143.3699951171875,140.0,140.94000244140625,140.7251434326172,69721100
2022-12-08,142.36000061035156,143.52000427246094,141.10000610351562,142.64999389648438,142.43252563476562,62128300
2022-12-09,142.33999633789062,145.57000732421875,140.89999389648438,142.16000366210938,141.9432830810547,76097000
2022-12-12,142.6999969482422,144.5,141.05999755859375,144.49000549316406,144.2697296142578,70462700
2022-12-13,149.5,149.97000122070312,144.24000549316406,145.47000122070312,145.24822998046875,93886200
2022-12-14,145.35000610351562,146.66000366210938,141.16000366210938,143.2100067138672,142.99168395996094,82291200
2022-12-15,141.11000061035156,141.8000030517578,136.02999877929688,136.5,136.29190063476562,98931900
2022-12-16,136.69000244140625,137.64999389648438,133.72999572753906,134.50999450683594,134.304931640625,160156900
2022-12-19,135.11000061035156,135.1999969482422,131.32000732421875,132.3699951171875,132.16819763183594,79592600
2022-12-20,131.38999938964844,133.25,129.88999938964844,132.3000030517578,132.0983123779297,77432800
2022-12-21,132.97999572753906,136.80999755859375,132.75,135.4499969482422,135.24349975585938,85928000
2022-12-22,134.35000610351562,134.55999755859375,130.3000030517578,132.22999572753906,132.02841186523438,77852100
2022-12-23,130.9199981689453,132.4199981689453,129.63999938964844,131.86000061035156,131.6589813232422,63814900
2022-12-27,131.3800048828125,131.41000366210938,128.72000122070312,130.02999877929688,129.83177185058594,69007800
2022-12-28,129.6699981689453,131.02999877929688,125.87000274658203,126.04000091552734,125.84785461425781,85438400
2022-12-29,127.98999786376953,130.47999572753906,127.7300033569336,129.61000061035156,129.41241455078125,75703700
2022-12-30,128.41000366210938,129.9499969482422,127.43000030517578,129.92999267578125,129.73191833496094,76960600
